x,y,z,radius,link,bodyId
1420.0,16646.0,14930.0,8.0,-1,1188889837
1404.0,16630.0,14946.0,14.6274,1,1188889837
1388.0,16614.0,14962.0,14.6274,2,1188889837
1340.0,16614.0,14978.0,49.6888,3,1188889837
1218.82,16734.5,15199.9,233.93900000000002,4,1188889837
1202.15,16778.9,15283.3,250.235,5,1188889837
1180.0,16838.0,15394.0,271.88599999999997,6,1188889837
1194.54,16850.1,15432.8,256.592,7,1188889837
1218.76,16870.3,15497.4,231.10299999999998,8,1188889837
1261.01,16905.5,15610.0,186.657,9,1188889837
1372.0,17014.0,15778.0,42.5964,10,1188889837
1436.0,17014.0,15858.0,27.7771,11,1188889837
1452.0,17030.0,15922.0,37.2548,12,1188889837
1484.0,17030.0,15986.0,27.7771,13,1188889837
1516.0,17030.0,16034.0,24.0,14,1188889837
1516.0,17046.0,16098.0,24.0,15,1188889837
1548.0,17046.0,16178.0,24.0,16,1188889837
1580.0,17030.0,16226.0,24.0,17,1188889837
1612.0,17046.0,16306.0,27.7771,18,1188889837
1660.0,17062.0,16370.0,37.2548,19,1188889837
1692.0,17078.0,16402.0,24.0,20,1188889837
1708.0,17094.0,16450.0,24.0,21,1188889837
1724.0,17110.0,16498.0,24.0,22,1188889837
1756.0,17126.0,16546.0,27.7771,23,1188889837
1004.0,16982.0,15586.0,72.0,10,1188889837
1388.0,16566.0,15442.0,120.0,9,1188889837
1420.0,16454.0,15378.0,37.2548,26,1188889837
1404.0,16406.0,15378.0,14.6274,27,1188889837
1388.0,16390.0,15394.0,8.0,28,1188889837
1420.0,16454.0,15522.0,8.0,26,1188889837
1420.0,16438.0,15538.0,8.0,30,1188889837
1180.0,16886.0,15538.0,221.085,8,1188889837
924.0,17030.0,15282.0,105.137,7,1188889837
860.0,17142.0,15330.0,8.0,33,1188889837
844.0,17158.0,15330.0,8.0,34,1188889837
1324.0,16502.0,15250.0,136.0,6,1188889837
1324.0,16374.0,15314.0,24.0,36,1188889837
1308.0,16390.0,15346.0,8.0,37,1188889837
1308.0,16390.0,15362.0,8.0,38,1188889837
1036.0,16774.0,14946.0,72.0,6,1188889837
1004.0,16822.0,14882.0,14.6274,40,1188889837
988.0,16838.0,14882.0,8.0,41,1188889837
1276.0,16502.0,15106.0,113.852,5,1188889837
1356.0,16630.0,14914.0,24.0,4,1188889837
700.0,13574.0,17106.0,8.0,-1,1188889837
716.0,13590.0,17090.0,8.0,45,1188889837
716.0,13606.0,17074.0,8.0,46,1188889837
716.0,13622.0,17058.0,8.0,47,1188889837
716.0,13638.0,17058.0,8.0,48,1188889837
732.0,13670.0,17058.0,24.0,49,1188889837
757.6,13670.0,17070.8,24.0,50,1188889837
796.0,13654.0,17074.0,24.0,51,1188889837
828.0,13638.0,17090.0,8.0,52,1188889837
860.0,13638.0,17106.0,24.0,53,1188889837
892.0,13638.0,17122.0,24.0,54,1188889837
924.0,13638.0,17106.0,24.0,55,1188889837
959.2660000000001,13639.6,17104.4,15.584000000000001,56,1188889837
988.0,13654.0,17090.0,24.0,57,1188889837
1004.0,13654.0,17058.0,8.0,58,1188889837
1004.0,13654.0,17026.0,24.0,59,1188889837
1004.0,13654.0,16994.0,14.6274,60,1188889837
1004.0,13670.0,16946.0,24.0,61,1188889837
1020.0,13670.0,16898.0,14.6274,62,1188889837
1052.0,13654.0,16866.0,24.0,63,1188889837
1116.0,13622.0,16834.0,24.0,64,1188889837
1148.0,13574.0,16786.0,14.6274,65,1188889837
1164.0,13558.0,16770.0,14.6274,66,1188889837
1180.0,13542.0,16754.0,24.0,67,1188889837
1196.0,13526.0,16738.0,14.6274,68,1188889837
1260.0,13494.0,16722.0,37.2548,69,1188889837
1308.0,13462.0,16706.0,49.6888,70,1188889837
1372.0,13398.0,16658.0,24.0,71,1188889837
1404.0,13382.0,16642.0,14.6274,72,1188889837
1436.0,13366.0,16642.0,24.0,73,1188889837
1500.0,13334.0,16642.0,24.0,74,1188889837
1548.0,13350.0,16642.0,14.6274,75,1188889837
1580.0,13366.0,16642.0,24.0,76,1188889837
1644.0,13350.0,16642.0,24.0,77,1188889837
1708.0,13334.0,16658.0,24.0,78,1188889837
1788.0,13334.0,16706.0,24.0,79,1188889837
1852.0,13302.0,16722.0,24.0,80,1188889837
1916.0,13302.0,16770.0,24.0,81,1188889837
1964.0,13318.0,16786.0,24.0,82,1188889837
1996.0,13350.0,16818.0,24.0,83,1188889837
2060.0,13382.0,16866.0,24.0,84,1188889837
2092.0,13414.0,16898.0,24.0,85,1188889837
2124.0,13446.0,16930.0,24.0,86,1188889837
2156.0,13478.0,16962.0,24.0,87,1188889837
2204.0,13494.0,16994.0,24.0,88,1188889837
2236.0,13494.0,17010.0,24.0,89,1188889837
2268.0,13510.0,17042.0,14.6274,90,1188889837
2284.0,13526.0,17058.0,8.0,91,1188889837
972.0,13654.0,17138.0,8.0,57,1188889837
972.0,13654.0,17154.0,8.0,93,1188889837
972.0,13654.0,17170.0,8.0,94,1188889837
972.0,13654.0,17186.0,8.0,95,1188889837
956.0,13654.0,17202.0,8.0,96,1188889837
732.0,13686.0,17106.0,8.0,51,1188889837
716.0,13702.0,17122.0,14.6274,98,1188889837
716.0,13702.0,17138.0,14.6274,99,1188889837
716.0,13702.0,17154.0,8.0,100,1188889837
700.0,13686.0,17026.0,8.0,50,1188889837
684.0,13702.0,17010.0,8.0,102,1188889837
1788.0,17206.0,16642.0,27.7771,-1,1188889837
1820.0,17206.0,16642.0,24.0,104,1188889837
1852.0,17270.0,16722.0,40.0,105,1188889837
1900.0,17334.0,16786.0,37.2548,106,1188889837
